page	type	id	text
8	main_question	26	Если Вы получали премию по основному месту работы в течение последних 30 дней, то сколько рублей Вы получили? РУБЛЕЙ
9	main_question	27	Скажите, пожалуйста, на этой работе Вы работаете на предприятии, в организации? Мы имеем в виду любую организацию, в которой работает более одного человека, независимо от того, частная она или государственная. Например, любые учреждения, заводы, фирмы, колхозы, совхозы, фермерские хозяйства, ИП, магазины, армию, государственные службы и прочие организации
9	main_question	28	Вы оформлены на этой работе официально, то есть по трудовой книжке, трудовому соглашению, контракту?
9	main_question	29	Почему Вы не оформлены на этой работе официально?
9	main_question	30	Где, на каком предприятии, Вы работаете? Чем это предприятие занимается? Например, химический комбинат выпускает удобрения и синтетическое волокно, станция скорой помощи оказывает неотложную медицинскую помощь, строительная организация занимается строительством жилых домов и так далее
9	main_question	31	Сколько человек работает на Вашем предприятии? Если не знаете точно, скажите примерно ЧЕЛОВЕК
9	main_question	32	Скажите, пожалуйста, за последние 12 месяцев какова была Ваша среднемесячная зарплата на этом предприятии после вычета налогов - независимо от того, платят Вам её вовремя или нет? Если Вы работаете на этом предприятии меньше 12 месяцев, то какова была Ваша среднемесячная зарплата за то время, что Вы работаете? Если всё или часть денег Вы получаете в иностранной валюте, переведите валюту в рубли и назовите, пожалуйста, сумму Вашей среднемесячной зарплаты РУБЛЕЙ
10	main_question	33	В настоящее время Ваше предприятие осталось должно Вам какие-то деньги, которые по разным причинам не выплатило вовремя?
10	main_question	34	Сколько всего денег Вам не доплатили? РУБЛЕЙ
10	main_question	35	За сколько месяцев предприятие не доплатило Вам эти деньги? | | | МЕСЯЦЕВ
10	main_question	36	В течение последних 12 месяцев Вы были в оплачиваемом отпуске?
10	main_question	37	Сколько всего календарных дней продолжался или продолжается этот отпуск? Если Вы были в отпуске несколько раз, суммируйте, пожалуйста, все дни ДНЕЙ
10	main_question	38	Является ли производство, на котором Вы работаете, вредным или опасным, то есть дающим Вам право на досрочное назначение трудовой пенсии, на дополнительные выплаты или льготы?
10	main_question	39	Является государство владельцем или совладельцем Вашего предприятия, организации?
10	main_question	40	Являются владельцами или совладельцами Вашего предприятия, организации иностранные фирмы или иностранные частные лица?
11	coded_subquestion	CCJ29c.1	Руководству Вашего
11	coded_subquestion	CCJ29c.2	Людям, с которыми Вы вместе
11	main_question	41	Являются владельцами или совладельцами Вашего предприятия, организации какие-то российские частные лица, коллектив предприятия или российские частные фирмы?
11	main_question	42	А Вы лично являетесь владельцем или совладельцем предприятия, на котором Вы работаете?
11	main_question	43	Как Вы считаете, на этой работе Вы занимаетесь предпринимательской деятельностью?
11	main_question	44	В какой степени Вы доверяете…? И ДО- ПОЛ- ВЕРЯЕТЕ, СКОРЕЕ СОВСЕМ НОСТЬЮ СКОРЕЕ И НЕ НЕ НЕ НЕ ОТ ДОВЕ- ДОВЕ- ДОВЕ- ДОВЕ- ДОВЕ- ОТНО- З/О КАЗ РЯЕТЕ РЯЕТЕ РЯЕТЕ РЯЕТЕ РЯЕТЕ СИТСЯ
11	main_question	45	Представьте себе не очень приятную картину: предприятие, организация, где Вы работаете, по каким-то причинам завтра закроется, и все работники будут уволены. Насколько Вы уверены в том, что сможете найти работу не хуже той, на которой работаете сейчас?
11	main_question	46	Насколько Вас беспокоит то, что Вы можете потерять работу?
12	coded_subquestion	CCJ29.2.1	Продвинулись по службе, получили
12	coded_subquestion	CCJ29.2.2	Перешли работать в другое
12	coded_subquestion	CCJ29.2.3	Перешли на более низкую должность
12	main_question	47	Скажите, пожалуйста, Вы сменили место работы или профессию по сравнению с ноябрем 2023 года или всё осталось по-прежнему?
12	main_question	48	Сколько раз Вы меняли место работы с ноября 2023 года?
12	main_question	49	По сравнению с ноябрем 2023 года Вы занимаете более высокую должность, более низкую должность или примерно такую же должность?
12	main_question	50	После ноября 2023 года изменились ли Ваши позиции на этом месте работы? Например, Вы…? Да Нет З/О ОТКАЗ
12	main_question	51	Скажите, пожалуйста, у Вас есть ещё какая-нибудь работа?
12	main_question	52	Можно я уточню. Возможно, у Вас есть еще работа, о которой Вы не подумали, отвечая на последний вопрос. Это может быть работа по совместительству, временная работа по срочному контракту, трудовому соглашению, договору подряда, гранту, или индивидуальная работа по лицензии или без нее?
13	main_question	53	Давайте поговорим об этой Вашей второй работе. Если Вы заняты ещё на нескольких работах, расскажите о той, которую Вы считаете наиболее важной после основной. Расскажите, пожалуйста, подробно - на какой должности, по какой профессии и по какой специальности Вы сейчас работаете на этой второй работе? Назовите, пожалуйста, должность, на которой Вы сейчас работаете
13	main_question	54	Что Вы в основном делаете на этой работе, что входит в Ваши основные обязанности?
13	main_question	55	В какой отрасли Вы работаете на этой работе? НОМЕР ИЗ КАРТОЧКИ | | |
13	main_question	56	Сколько в среднем продолжается Ваш обычный рабочий день на этой работе? ЧАСОВ МИНУТ
13	main_question	57	А сколько часов в среднем продолжается Ваша обычная рабочая неделя? ЧАСОВ
14	main_question	58	Вы работали на этой работе в течение последних 30 дней?
14	main_question	59	Сколько часов Вы фактически отработали на этой работе в течение последних 30 дней? ЧАСОВ
14	main_question	60	На той работе, о которой мы сейчас говорим, в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты, премии, дотаций, пособий, доходов, прибыли?
14	main_question	61	Сколько денег в течение последних 30 дней Вы получили на этой работе после вычета налогов? Если все или часть денег Вы получили не в рублях, а в иностранной валюте, переведите, пожалуйста, всё в рубли и назовите общую сумму РУБЛЕЙ
14	main_question	62	На этой работе Вы работаете на предприятии, в организации? Мы имеем в виду любую организацию, в которой работает более одного человека, независимо от того, частная она или государственная. Например, любые учреждения, заводы, фирмы, колхозы, совхозы, фермерские хозяйства, ИП, магазины, армию, государственные службы и прочие организации
14	main_question	63	Вы оформлены на этой работе официально, то есть по трудовой книжке, трудовому соглашению, контракту?
14	main_question	64	Почему Вы не оформлены на этой работе официально?
15	main_question	65	Сколько человек работает на этом Вашем предприятии? Если не знаете точно, скажите примерно ЧЕЛОВЕК
15	main_question	66	Является государство владельцем или совладельцем Вашего предприятия, организации?
15	main_question	67	Являются владельцами или совладельцами Вашего предприятия, организации иностранные фирмы или иностранные частные лица?
15	main_question	68	Являются владельцами или совладельцами этого Вашего предприятия, организации какие-то российские частные лица, коллектив предприятия или российские частные фирмы?
15	main_question	69	А Вы лично являетесь владельцем или совладельцем предприятия, на котором Вы работаете?
15	main_question	70	Скажите, пожалуйста, в течение последних 30 дней Вы занимались (ещё) какой-нибудь работой, за которую Вам заплатили или должны заплатить? Может быть, Вы сшили кому-то платье, подвезли кого-нибудь на машине, занимались репетиторством, помогли кому-то с ремонтом квартиры, машины, ухаживали за больными, продавали свои или купленные продукты или товары на рынке или на улице или делали что-то другое?
15	main_question	71	В чём именно состояла эта Ваша работа? Расскажите, пожалуйста, обо всём, что Вы делали
16	main_question	72	Сколько всего денег в течение последних 30 дней Вам заплатили за всю эту работу? Если это были разные виды работ, суммируйте. Если оплата производилась в неденежной форме, оцените, сколько это примерно будет в рублях? РУБЛЕЙ
16	main_question	73	Для Вас это был случайный заработок или Вы часто занимаетесь такой работой и регулярно получаете за это деньги?
16	main_question	74	Доход от этой работы является Вашим основным заработком или это дополнительный источник Вашего дохода?
16	main_question	75	Сколько часов за последние 30 дней Вы занимались всей этой работой? ЧАСОВ
16	main_question	76	Эта работа была оформлена официально, например, по договору или контракту, лицензии?
16	main_question	77	Попробуйте вспомнить, сколько всего денег в течение последних 30 дней Вы лично получили Пожалуйста, посчитайте всё: зарплату, пенсии, премии, прибыли, пособия, материальную помощь, случайные заработки и другие денежные поступления, в том числе и в валюте, но валюту переведите в рубли РУБЛЕЙ
17	coded_subquestion	CCJ596.1	Банковский депозит, вклад или накопительный счет
17	coded_subquestion	CCJ596.2	Невыплаченный кредит
17	coded_subquestion	CCJ596.3	Ценные бумаги, акции, облигации и т.п
17	coded_subquestion	CCJ596.4	Брокерский или индивидуальный
17	coded_subquestion	CCJ604A0	Охотились или собирали грибы, ягоды, травы и т.п
17	main_question	78	Скажите, пожалуйста, в течение последних 12 месяцев Вы…? Да Нет З/О ОТКАЗ
17	main_question	79	Есть ли лично у Вас в настоящее время…? Да Нет З/О ОТКАЗ
17	main_question	80	Как изменилось материальное положение Вашей семьи за последние три года?
17	main_question	81	А как Вы думаете, через 12 месяцев Вы и Ваша семья будете жить лучше или хуже, чем сегодня?
18	main_question	82	В последние три месяца откуда Вы в основном узнавали об экономических и политических новостях? Имеются в виду новости, не связанные с досугом, культурой, спортом, путешествиями, наукой и прочим. Выберите все подходящие ответы ЧТО НАЗЫВАЕТ РЕСПОНДЕНТ
18	main_question	83	Представьте себе, пожалуйста, лестницу из 9 ступеней, где на нижней, первой ступени, стоят нищие, а на высшей, девятой - богатые. На какой из девяти ступеней находитесь сегодня Вы лично? НИЗШАЯ ВЫСШАЯ СТУПЕНЬ СТУПЕНЬ З/О ОТКАЗ 01
18	main_question	84	А теперь представьте себе, пожалуйста, лестницу из 9 ступеней, где на нижней ступени стоят совсем бесправные, а на высшей - те, у кого большая власть. На какой из девяти ступеней находитесь сегодня Вы лично? НИЗШАЯ ВЫСШАЯ СТУПЕНЬ СТУПЕНЬ З/О ОТКАЗ 01
18	main_question	85	И ещё одна лестница из 9 ступеней, где на нижней ступени находятся люди, которых совсем не уважают, а на высшей - те, кого очень уважают. На какой из девяти ступеней находитесь сегодня Вы лично? НИЗШАЯ ВЫСШАЯ СТУПЕНЬ СТУПЕНЬ З/О ОТКАЗ 01
18	main_question	86	Насколько Вы удовлетворены своей жизнью в целом в настоящее время?
19	coded_subquestion	CCJ445.1	Вы разговорчивы?
19	coded_subquestion	CCJ445.10	Вы склонны к беспокойству?
19	coded_subquestion	CCJ445.11	Вам очень интересно узнавать что-то новое?
19	coded_subquestion	CCJ445.12	Вам больше нравится расслабляться,
19	coded_subquestion	CCJ445.13	Вам нравится работать над задачами, выполнение которых требует очень длительного времени -
19	coded_subquestion	CCJ445.2	Выполняя какое-то задание, Вы очень аккуратны?
19	coded_subquestion	CCJ445.3	Вам приходят в голову идеи, до которых
19	coded_subquestion	CCJ445.4	Вы предпочитаете держать свое мнение при себе?
19	coded_subquestion	CCJ445.5	Вы спокойны в стрессовых ситуациях?
19	coded_subquestion	CCJ445.6	Вы заканчиваете то, что начали?
19	coded_subquestion	CCJ445.7	Люди используют Вас в своих интересах?
19	coded_subquestion	CCJ445.8	Вы очень усердно трудитесь? Например, Вы продолжаете
19	coded_subquestion	CCJ445.9	Вы легко прощаете других людей?
19	main_question	87	Насколько Вас беспокоит то, что Вы не сможете обеспечивать себя самым необходимым в ближайшие 12 месяцев?
19	main_question	88	Насколько Вы удовлетворены своим материальным положением в настоящее время?
19	main_question	89	ЕСЛИ ОТВЕЧАЛ, ПЕРЕХОДИТЕ К 93. НА СТР.21 Люди отличаются друг от друга. Отвечая на следующие вопросы, сравнивайте себя с другими людьми. Мы понимаем, что некоторые вопросы могут казаться похожими, но на самом деле, они разные. Не думайте долго, а дайте первый ответ, который приходит Вам в голову. Здесь нет правильных или неправильных ответов А В КОНЦЕ ВЕРНИТЕСЬ К НЕМУ И ПОПЫТАЙТЕСЬ СНОВА. ЕСЛИ НА ВОПРОС ТАК И НЕ БУДЕТ ДАН ОТВЕТ, ПЕРЕЧЕРКНИТЕ ВСЕ 4 ОТВЕТА В ЭТОЙ СТРОКЕ. ЕСЛИ РЕСПОНДЕНТ ПРОСИТ ОБЪЯСНИТЬ ИЛИ ПРИВЕСТИ ПРИМЕРЫ, СКАЖИТЕ "Я не могу объяснять. Просто подумайте, что это высказывание означает для Вас" ПОЧТИ ЧАЩЕ ПОЧТИ ВСЕГДА ВСЕГО ИНОГДА НИКОГДА
20	coded_subquestion	CCJ445.14	Вы получаете удовольствие от красивого,
20	coded_subquestion	CCJ445.15	Вы задумываетесь о том, как Ваши поступки
20	coded_subquestion	CCJ445.16	Вы очень вежливы с другими людьми?
20	coded_subquestion	CCJ445.17	Вы работаете очень хорошо и быстро?
20	coded_subquestion	CCJ445.18	Вас легко заставить нервничать?
20	coded_subquestion	CCJ445.19	Вы щедро делитесь с другими людьми
20	coded_subquestion	CCJ445.20	Вы открыты и общительны, например,
20	coded_subquestion	CCJ445.21	Вы тщательно всё обдумываете
20	coded_subquestion	CCJ445.22	Люди не очень хорошо к Вам относятся?
20	coded_subquestion	CCJ445.23	Вы обращаетесь за помощью, когда не понимаете чего-то?
20	coded_subquestion	CCJ445.24	Вы задумываетесь о том,
20	coded_subquestion	CCJ447.1	Когда ведете машину | | |
20	coded_subquestion	CCJ447.2	В финансовых вопросах | | |
20	coded_subquestion	CCJ447.3	Ради продвижения по службе | | |
20	coded_subquestion	CCJ447.4	В вопросах безопасности труда | | |
20	coded_subquestion	CCJ447.5	В вопросах, касающихся Вашего здоровья | | |
20	main_question	90	Одни люди всегда готовы рисковать, другие никогда не рискуют. Представьте себе шкалу от 0 до 10, где 0 означает «Совсем не готовы рисковать», а 10 - «Всегда готовы рисковать» Куда бы на такой шкале Вы поместили себя? | | | ЧИСЛО НА ШКАЛЕ
20	main_question	91	Вне зависимости от того, где Вы поместили себя на этой шкале, понятно, что люди по-разному
20	main_question	92	Вы из тех людей, которые скорее откажутся от чего-то сегодня, чтобы получить выгоду от этого отказа в будущем, или нет? Куда бы Вы поместили себя на шкале от 0 до 10, где 0 означает «Обязательно откажетесь», а 10 - «Ни за что не откажетесь»? НИ ЗА ЧТО ОБЯЗАТЕЛЬНО НЕ ОТКАЖУСЬ ОТКАЖУСЬ З/О ОТКАЗ 00
21	main_question	93	Давайте поговорим немного о другом. Скажите, пожалуйста, какого числа, в каком месяце, в каком году Вы родились? | | | | | | | | | | | ЧИСЛО МЕСЯЦ ГОД
21	main_question	94	УЧАСТВОВАЛ ЛИ РЕСПОНДЕНТ РАНЕЕ В ОПРОСЕ:
21	main_question	95	1978 ГОД И РАНЬШЕ С 1979 ПО 1997 ГОДЫ
21	main_question	96	Я хочу задать Вам несколько вопросов о Вашем образовании. Сколько классов школы Вы закончили? КЛАССОВ
21	main_question	97	ПРОПУСТИТЕ И ПЕРЕХОДИТЕ К ВОПРОСУ 98 У Вас есть аттестат о полном среднем образовании, то есть об окончании 10 - 12 классов?
21	main_question	98	В 1999 ГОДУ ИЛИ ПОЗЖЕ. ОСТАЛЬНЫМ ЗАДАВАЙТЕ ВОПРОС 103. НА СТР.22 Вы сейчас учитесь в общеобразовательной школе, гимназии, лицее, экстернате? ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ, НО ИЗ-ЗА УГЛУБЛЁННОГО ИЗУЧЕНИЯ НЕКОТОРЫХ ПРЕДМЕТОВ ПОЛУЧИВШИХ НАЗВАНИЕ «ГИМНАЗИЯ» ИЛИ «ЛИЦЕЙ»
22	main_question	100	Сколько учеников в классе, в котором Вы обучаетесь? УЧЕНИКОВ
22	main_question	101	Вы учитесь в…
22	main_question	102	Как бы Вы оценили Вашу успеваемость?
22	main_question	103	Вы учились или учитесь где-нибудь, кроме школы?
22	main_question	99	В каком классе Вы учитесь? В КЛАССЕ
23	main_question	1	Учились Нет Учитесь
23	main_question	104	Вы учились или учитесь в учебных заведениях, которые я Вам сейчас перечислю, и если да, то сколько лет Вы проучились в каждом из них, и получили ли диплом? ЕСЛИ У РЕСПОНДЕНТА БОЛЬШЕ ОДНОГО ОБРАЗОВАНИЯ ОДИНАКОВОГО УРОВНЯ - ЗАПИШИТЕ ВСЕ Вы учились Сколько По какой В каком или лет специаль- Получили году учитесь? проучились? ности? диплом? (окончили/ушли)?
23	main_question	2	Учились
23	main_question	3	Учились
24	main_question	4	Учились
24	main_question	5	Учились
25	main_question	5.1	Во время обучения в ВУЗе Вы (работали/работаете)?
25	main_question	6	В аспирантуре, ординатуре Учились
26	main_question	105	Давайте еще раз уточним, какой у Вас самый высокий уровень образования, по которому Вы получили аттестат, свидетельство, диплом? ЗАФИКСИРУЙТЕ ТОЛЬКО САМЫЙ ВЫСОКИЙ УРОВЕНЬ ОБРАЗОВАНИЯ
26	main_question	106	Скажите, пожалуйста, Вы когда-нибудь пытались организовать своё собственное предприятие, начать своё собственное дело?
26	main_question	107	О СВОЕЙ РАБОТЕ В НАСТОЯЩЕЕ ВРЕМЯ РЕСПОНДЕНТ СЕЙЧАС РАБОТАЕТ, НАХОДИТСЯ В ОПЛАЧИВАЕМОМ ИЛИ НЕОПЛАЧИВАЕМОМ ОТПУСКЕ, В ТОМ ЧИСЛЕ ДЕКРЕТНОМ ИЛИ
27	main_question	108	КРОМЕ ШКОЛЫ?
27	main_question	109	На своей основной работе Вы сейчас заняты по той специальности, которую получили в НАЗОВИТЕ ВЫСШИЙ УРОВЕНЬ ОБРАЗОВАНИЯ РЕСПОНДЕНТА ИЗ ВОПРОСА 104. НА СТР.23 - 25 ]? ОБРАЗОВАНИЯ (ВОПРОС 105. НА СТР.26) ОКОНЧЕНО БОЛЕЕ ОДНОГО УЧЕБНОГО ЗАВЕДЕНИЯ (ВОПРОС 104. НА СТР.23 - 25), ТО СПРАШИВАЙТЕ О ПОСЛЕДНЕМ ИЗ НИХ
27	main_question	110	В течение последних 12 месяцев Вы учились или учитесь на профессиональных курсах, курсах повышения квалификации или любых других курсах, включая курсы иностранных языков, обучение на рабочем месте, включая онлайн курсы?
27	main_question	111	На этих курсах Вы учились очно или удаленно? Да Нет З/О ОТКАЗ
27	main_question	112	По какой специальности были эти курсы? Если Вы учились на двух и более курсах в течение последних 12 месяцев, давайте поговорим о тех, которые считаете более важными для себя
27	main_question	113	Сколько всего часов Вы проучились на этих курсах? ЧАСОВ
27	main_question	114	Эта специальность совпадает с той, по которой Вы работали к моменту поступления на курсы?
28	main_question	115	За счет каких средств Вы учились на этих курсах? Можно выбрать несколько ответов
28	main_question	116	Вы владеете каким-либо иностранным языком, помимо языков бывших республик СССР?
28	main_question	117	В какой степени Вы владеете этим иностранным языком?
28	main_question	118	Если у Вас, Вашей семьи есть автомобиль, водите ли Вы его?
28	main_question	119	Приходилось ли Вам в течение последних 12 месяцев пользоваться в любых целях, включая печатание текстов, компьютерные игры и другое…? Да Нет З/О ОТКАЗ
28	main_question	120	ИЛИ ПОЛЬЗУЕТСЯ ТОЛЬКО МОБИЛЬНЫМ ТЕЛЕФОНОМ БЕЗ ВОЗМОЖНОСТИ ВЫХОДА В ИНТЕРНЕТ (пункт 5), ПЕРЕХОДИТЕ К ВОПРОСУ 125. НА СТР.29 Сколько примерно времени в течение дня Вы обычно смотрите на экраны всех электронных устройств, которыми пользуетесь, кроме телевизора, то есть на экраны: смартфона, планшета, компьютера?
28	main_question	4	Смартфоном, коммуникатором, iPhone (ай-фоном),
28	main_question	5	Мобильным сотовым телефоном без возможности выхода в Интернет, по которому можно
29	main_question	121	Вы играли в последние 12 месяцев в любые игры, включая пасьянсы, головоломки, симуляторы и прочие при помощи электронных устройств, например, компьютера, телефона, игровой приставки?
29	main_question	122	Как часто Вы играли в такие игры?
29	main_question	123	А за последние 30 дней сколько примерно часов в неделю занимали такие игры?
29	main_question	124	В какие именно виды игр Вы играли за последние 12 месяцев?
29	main_question	125	Приходилось ли Вам в течение последних 12 месяцев пользоваться Интернетом?
30	coded_subquestion	CCj125.11	Получения государственных услуг: запись к врачу,
30	coded_subquestion	CCj125.12	Оплаты коммунальных услуг, мобильного телефона,
30	coded_subquestion	CCj125.13	Бронирования билетов, гостиниц, заказа турпутевок и т.д
30	coded_subquestion	CCj125.14	Использования облачных сервисов
30	coded_subquestion	CCj125.15	Просмотра телевизионных программ
30	coded_subquestion	CCj125.16	Просмотра и скачивания картинок, музыки, фильмов, текстов
30	coded_subquestion	CCj125.17	Скачивания книг или чтения онлайн
30	coded_subquestion	CCj125.18	Игр онлайн, просмотра или скачивания игр
30	coded_subquestion	CCj125.19	Дистанционного обучения по какому-либо
30	coded_subquestion	CCj125.26(22)	Доставки еды, напитков
30	coded_subquestion	CCj125.27(26)	Покупки товаров
30	coded_subquestion	CCj125.28(27)	Заказа такси
30	coded_subquestion	CCj125.29(28)	Пользования каршерингом
30	coded_subquestion	CCj125.30(29)	Определения геолокации членов семьи, друзей, знакомых
30	main_question	126	Вы пользовались Интернетом в течение последних 12 месяцев для…? Да Нет З/О ОТКАЗ
30	main_question	127	ПОСЕЩЕНИЯ СОЦИАЛЬНЫХ СЕТЕЙ, ТО ЕСТЬ ОТМЕЧЕНО «1» В ПУНКТЕ 10 ВОПРОСА 126 ОСТАЛЬНЫМ ЗАДАВАЙТЕ ВОПРОС 130. НА СТР.31 Какую социальную сеть Вы посещаете чаще всего или каким приложением или мессенджером чаще всего пользуетесь?
31	main_question	128	Как часто Вы посещаете сайт или открываете приложение социальной сети, которой пользуетесь чаще всего?
31	main_question	129	Сколько примерно у Вас друзей в социальных сетях, не считая подписчиков?
31	main_question	130	В последние 30 дней Вы пользовались Ви-Пи-Эн?
31	main_question	131	Вы слышали что-либо об искусственном интеллекте и возможностях его применения для создания текстов, изображений, видео или в других сферах, например, в беспилотных автомобилях, в медицине, в принятии решений о выдаче кредита и так далее?
32	coded_subquestion	CCJ594a1	Для работы
32	coded_subquestion	CCJ594a2	Для учёбы
32	coded_subquestion	CCJ594a3	Вне работы, учёбы
32	coded_subquestion	CCJ600.1	Трудовая деятельность
32	coded_subquestion	CCJ600.2	Образование
32	coded_subquestion	CCJ600.3	Информационная
32	coded_subquestion	CCJ600.4	Медицина
32	coded_subquestion	CCJ600.5	Поиск информации
32	main_question	132	Вы когда-нибудь пользовались в любых целях программами с искусственным интеллектом, например, позволяющими создавать тексты, изображения или видео, например чатом Джи Пи Ти, Клод, Миджорни, Шедеврум, Кандински и тому подобными?
32	main_question	133	С какой целью Вы использовали эти программы или приложения? Да Нет З/О ОТКАЗ
32	main_question	134	Как Вы думаете, развитие искусственного интеллекта несет больше возможностей или больше рисков для человечества в целом?
32	main_question	135	Как Вы думаете, какое влияние искусственный интеллект в настоящее время оказывает на следующие сферы ? СИЛЬНОЕ НЕЗНАЧИ- НЕЗНАЧИТ СИЛЬНОЕ ПОЛОЖИ- ТЕЛЬНОЕ БЕЗ НЕГАТИВ- ОТРИЦАТЕЛЬ- ТЕЛЬНОЕ ПОЛОЖИТ ВЛИЯ- НОЕ ВОЗ- НОЕ ВОЗ- ОТ- ВЛИЯНИЕ ВЛИЯНИЕ НИЯ ДЕЙСТВИЕ ДЕЙСТВИЕ З/О КАЗ
33	coded_subquestion	CCJ601.1	Вашу работу
33	coded_subquestion	CCJ601.2	Ваше здоровье
33	coded_subquestion	CCJ601.3	Ваше личное финансовое положение
33	coded_subquestion	CCJ601.4	Ваши возможности получения знаний
33	coded_subquestion	CCJ601.5	Ваши возможности
33	coded_subquestion	CCJ601.6	Качество Вашей жизни
33	coded_subquestion	CCJ601.7	Ваш досуг
33	coded_subquestion	CCJ605.1	Люди будут рассчитывать на искусственный интеллект
33	coded_subquestion	CCJ605.2	Технологии искусственного интеллекта могут выйти
