page	type	code	text
6	answer_block_for_question	11	НЕНОРМИРОВАННЫЙ РАБОЧИЙ ДЕНЬ 96 | ДРУГОЕ 95 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 97 | ОТКАЗ 98
6	answer_block_for_question	12	ДРУГОЕ 996 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 997 | ОТКАЗ 998
6	answer_block_for_question	8	ПО РАСПРЕДЕЛЕНИЮ 01 | ЧЕРЕЗ РОДСТВЕННИКОВ 03 | ЧЕРЕЗ ДРУЗЕЙ ИЛИ ЗНАКОМЫХ 04 | ЧЕРЕЗ СОЦИАЛЬНЫЕ СЕТИ, ГРУППЫ В СОЦИАЛЬНЫХ СЕТЯХ 15 | ПРИШЛИ НЕПОСРЕДСТВЕННО В ОТДЕЛ КАДРОВ ПРЕДПРИЯТИЯ, ОРГАНИЗАЦИИ 05 | ПО ПРИГЛАШЕНИЮ РУКОВОДСТВА ИЛИ СОТРУДНИКОВ | ЭТОГО ПРЕДПРИЯТИЯ, ОРГАНИЗАЦИИ 06 | САМИ СОЗДАЛИ ПРЕДПРИЯТИЕ, СОБСТВЕННОЕ ДЕЛО 07 | ПОДАЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ ЧЕРЕЗ ИНТЕРНЕТ 08 | ПОДАЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ НЕ ЧЕРЕЗ ИНТЕРНЕТ 09 | УВИДЕЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ В ИНТЕРНЕТЕ 10 | УВИДЕЛИ, УСЛЫШАЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ НЕ В ИНТЕРНЕТЕ 11 | ЧЕРЕЗ ГОСУДАРСТВЕННУЮ СЛУЖБУ ЗАНЯТОСТИ ИЛИ | БЮРО ПО ТРУДОУСТРОЙСТВУ 12 | ЧЕРЕЗ НЕГОСУДАРСТВЕННУЮ СЛУЖБУ ЗАНЯТОСТИ, | АГЕНТСТВО ПО ТРУДОУСТРОЙСТВУ 13 | ПО-ДРУГОМУ, КАК ИМЕННО? 14 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 97 | ОТКАЗ 98
6	answer_block_for_question	9	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
6	option_line	01	ПО РАСПРЕДЕЛЕНИЮ
6	option_line	03	ЧЕРЕЗ РОДСТВЕННИКОВ
6	option_line	04	ЧЕРЕЗ ДРУЗЕЙ ИЛИ ЗНАКОМЫХ
6	option_line	05	ПРИШЛИ НЕПОСРЕДСТВЕННО В ОТДЕЛ КАДРОВ ПРЕДПРИЯТИЯ, ОРГАНИЗАЦИИ
6	option_line	06	ЭТОГО ПРЕДПРИЯТИЯ, ОРГАНИЗАЦИИ
6	option_line	07	САМИ СОЗДАЛИ ПРЕДПРИЯТИЕ, СОБСТВЕННОЕ ДЕЛО
6	option_line	08	ПОДАЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ ЧЕРЕЗ ИНТЕРНЕТ
6	option_line	09	ПОДАЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ НЕ ЧЕРЕЗ ИНТЕРНЕТ
6	option_line	10	УВИДЕЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ В ИНТЕРНЕТЕ
6	option_line	11	УВИДЕЛИ, УСЛЫШАЛИ РЕКЛАМНОЕ ОБЪЯВЛЕНИЕ НЕ В ИНТЕРНЕТЕ
6	option_line	12	БЮРО ПО ТРУДОУСТРОЙСТВУ
6	option_line	13	АГЕНТСТВО ПО ТРУДОУСТРОЙСТВУ
6	option_line	14	ПО-ДРУГОМУ, КАК ИМЕННО?
6	option_line	15	ЧЕРЕЗ СОЦИАЛЬНЫЕ СЕТИ, ГРУППЫ В СОЦИАЛЬНЫХ СЕТЯХ
6	option_line	95	ДРУГОЕ
6	option_line	96	НЕНОРМИРОВАННЫЙ РАБОЧИЙ ДЕНЬ
6	option_line	996	ДРУГОЕ
7	answer_block_for_question	13	МЕСТО ОПРЕДЕЛЕНО РАБОТОДАТЕЛЕМ 1 | РАБОТАЕТЕ ДОМА (НАДОМНАЯ РАБОТА), НО НЕ ОНЛАЙН 2 | РАБОТАЕТЕ ДИСТАНЦИОННО ИЗ ДОМА ИЛИ ИЗ ДРУГОГО МЕСТА 3 | РАБОТАЕТЕ НА ВЫЕЗДЕ С ПРОЖИВАНИЕМ, ВАХТОВЫЙ МЕТОД 4 | РАБОТАЕТЕ БЕЗ ПОСТОЯННОГО МЕСТА, В РАЗЪЕЗДАХ ИЛИ ПЕРЕМЕЩЕНИЯХ 5 | З/О 7 | ОТКАЗ 8
7	answer_block_for_question	14	Обычный, не дистанционный режим работы 1 | Дистанционный 2 | Сочетание обычного и дистанционного 3 | НЕ ОТНОСИТСЯ 6 | З/О 7 | ОТКАЗ 8
7	answer_block_for_question	15	Никогда 1 | Несколько раз в год 2 | Несколько раз в месяц 3 | Несколько раз в неделю 4 | Каждый день 5 | З/О 7 | ОТКАЗ 8
7	answer_block_for_question	16	Никогда 1 | Несколько раз в год 2 | Раз в месяц 3 | Несколько раз в месяц 4 | Практически все выходные и праздничные дни 5 | З/О 7 | ОТКАЗ 8
7	answer_block_for_question	17	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
7	answer_block_for_question	18	З/О 97 | ОТКАЗ 98
7	option_line	1	МЕСТО ОПРЕДЕЛЕНО РАБОТОДАТЕЛЕМ
7	option_line	1	Никогда
7	option_line	1	Обычный, не дистанционный режим работы
7	option_line	2	Дистанционный
7	option_line	2	Несколько раз в год
7	option_line	2	РАБОТАЕТЕ ДОМА (НАДОМНАЯ РАБОТА), НО НЕ ОНЛАЙН
7	option_line	3	Несколько раз в месяц
7	option_line	3	РАБОТАЕТЕ ДИСТАНЦИОННО ИЗ ДОМА ИЛИ ИЗ ДРУГОГО МЕСТА
7	option_line	3	Раз в месяц
7	option_line	3	Сочетание обычного и дистанционного
7	option_line	4	Несколько раз в месяц
7	option_line	4	Несколько раз в неделю
7	option_line	4	РАБОТАЕТЕ НА ВЫЕЗДЕ С ПРОЖИВАНИЕМ, ВАХТОВЫЙ МЕТОД
7	option_line	5	Каждый день
7	option_line	5	Практически все выходные и праздничные дни
7	option_line	5	РАБОТАЕТЕ БЕЗ ПОСТОЯННОГО МЕСТА, В РАЗЪЕЗДАХ ИЛИ ПЕРЕМЕЩЕНИЯХ
7	option_line	6	НЕ ОТНОСИТСЯ
8	answer_block_for_question	19	З/О 997 | ОТКАЗ 998
8	answer_block_for_question	20	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
8	answer_block_for_question	21	З/О 997 | ОТКАЗ 998
8	answer_block_for_question	22	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
8	answer_block_for_question	23	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
8	answer_block_for_question	24	З/О 997 | ОТКАЗ 998
8	answer_block_for_question	25	Все - официально 1 | Часть официально, часть нет 2 | Все - неофициально 3 | З/О 7 | ОТКАЗ 8
8	answer_block_for_question	26	ПРЕМИЮ НЕ ПОЛУЧАЛИ 996 | З/О 997 | ОТКАЗ 998
8	option_line	1	Все - официально
8	option_line	2	Часть официально, часть нет
8	option_line	3	Все - неофициально
8	option_line	996	ПРЕМИЮ НЕ ПОЛУЧАЛИ
9	answer_block_for_question	27	Вы работаете на предприятии, в организации 1 | Не на предприятии, не в организации 2 | Вы зарегистрированный самозанятый 3 | Вы владелец ИП, в котором работаете только Вы 4 | З/О 7 | ОТКАЗ 8
9	answer_block_for_question	28	Оформлены официально 1 | Не оформлены официально 2 | З/О 7 | ОТКАЗ 8
9	answer_block_for_question	29	Работодатель не хочет оформлять 1 | Вы сами не хотели оформляться 2 | И работодатель, и Вы сами не хотели оформляться 3 | З/О 7 | ОТКАЗ 8
9	answer_block_for_question	30	З/О 7 | ОТКАЗ 8
9	answer_block_for_question	31	З/О 9997 | ОТКАЗ 9998
9	answer_block_for_question	32	З/О 997 | ОТКАЗ 998
9	option_line	1	Вы работаете на предприятии, в организации
9	option_line	1	Оформлены официально
9	option_line	1	Работодатель не хочет оформлять
9	option_line	2	Вы сами не хотели оформляться
9	option_line	2	Не на предприятии, не в организации
9	option_line	2	Не оформлены официально
9	option_line	3	Вы зарегистрированный самозанятый
9	option_line	3	И работодатель, и Вы сами не хотели оформляться
9	option_line	4	Вы владелец ИП, в котором работаете только Вы
10	answer_block_for_question	33	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
10	answer_block_for_question	34	З/О 997 | ОТКАЗ 998
10	answer_block_for_question	35	З/О 97 | ОТКАЗ 98
10	answer_block_for_question	36	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
10	answer_block_for_question	37	З/О 997 | ОТКАЗ 998
10	answer_block_for_question	38	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
10	answer_block_for_question	39	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
10	answer_block_for_question	40	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
11	answer_block_for_question	41	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
11	answer_block_for_question	42	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
11	answer_block_for_question	43	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
11	answer_block_for_question	44	предприятия, организации 1 2 3 4 5 6 7 8 | работаете, Вашим коллегам 1 2 3 4 5 6 7 8
11	answer_block_for_question	45	Полностью уверены 1 | Скорее уверены 2 | И да, и нет 3 | Не очень уверены 4 | Совсем не уверены 5 | З/О 7 | ОТКАЗ 8
11	answer_block_for_question	46	Очень беспокоит 1 | Немного беспокоит 2 | И да, и нет 3 | Не очень беспокоит 4 | Совсем не беспокоит 5 | З/О 7 | ОТКАЗ 8
11	option_line	1	Очень беспокоит
11	option_line	1	Полностью уверены
11	option_line	2	Немного беспокоит
11	option_line	2	Скорее уверены
11	option_line	3	И да, и нет
11	option_line	4	Не очень беспокоит
11	option_line	4	Не очень уверены
11	option_line	5	Совсем не беспокоит
11	option_line	5	Совсем не уверены
11	option_line	8	предприятия, организации 1 2 3 4 5 6 7
11	option_line	8	работаете, Вашим коллегам 1 2 3 4 5 6 7
12	answer_block_for_question	47	Профессия и место работы остались прежними 1 | Сменили профессию, но не сменили место работы 2 | Сменили место работы, но не сменили профессию 3 | Сменили и место работы, и профессию 4 | В НОЯБРЕ 2023 Г. НЕ РАБОТАЛ(А) 6 | ДРУГОЕ [ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 7 | ОТКАЗ 8
12	answer_block_for_question	48	Один раз 1 | Больше одного раза 2 | З/О 7 | ОТКАЗ 8
12	answer_block_for_question	49	БОЛЕЕ ВЫСОКУЮ 1 | БОЛЕЕ НИЗКУЮ 2 | ПРИМЕРНО ТАКУЮ ЖЕ 3 | З/О 7 | ОТКАЗ 8
12	answer_block_for_question	50	более высокую должность 1 2 7 8 | структурное подразделение - отдел, цех 1 2 7 8
12	answer_block_for_question	51	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
12	answer_block_for_question	52	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
12	option_line	1	БОЛЕЕ ВЫСОКУЮ
12	option_line	1	Один раз
12	option_line	1	Профессия и место работы остались прежними
12	option_line	2	БОЛЕЕ НИЗКУЮ
12	option_line	2	Больше одного раза
12	option_line	2	Сменили профессию, но не сменили место работы
12	option_line	3	ПРИМЕРНО ТАКУЮ ЖЕ
12	option_line	3	Сменили место работы, но не сменили профессию
12	option_line	4	Сменили и место работы, и профессию
12	option_line	6	В НОЯБРЕ 2023 Г. НЕ РАБОТАЛ(А)
12	option_line	8	более высокую должность 1 2 7
12	option_line	8	структурное подразделение - отдел, цех 1 2 7
13	answer_block_for_question	53	З/О 7 | ОТКАЗ 8 | Профессию, по которой Вы сейчас работаете | З/О 7 | ОТКАЗ 8 | Специальность, по которой Вы сейчас работаете | З/О 7 | ОТКАЗ 8
13	answer_block_for_question	54	З/О 7 | ОТКАЗ 8
13	answer_block_for_question	55	ДРУГОЕ 19 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 97 | ОТКАЗ 98
13	answer_block_for_question	56	НЕНОРМИРОВАННЫЙ РАБОЧИЙ ДЕНЬ 96 | ДРУГОЕ 95 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 97 | ОТКАЗ 98
13	answer_block_for_question	57	ДРУГОЕ 996 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 997 | ОТКАЗ 998
14	answer_block_for_question	58	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
14	answer_block_for_question	59	З/О 997 | ОТКАЗ 998
14	answer_block_for_question	60	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
14	answer_block_for_question	61	З/О 997 | ОТКАЗ 998
14	answer_block_for_question	62	Вы работаете на предприятии, в организации 1 | Не на предприятии, не в организации 2 | Вы зарегистрированный самозанятый 3 | Вы владелец ИП, в котором работаете только Вы 4 | З/О 7 | ОТКАЗ 8
14	answer_block_for_question	63	Оформлены официально 1 | Не оформлены официально 2 | З/О 7 | ОТКАЗ 8
14	answer_block_for_question	64	Работодатель не хочет оформлять 1 | Вы сами не хотели оформляться 2 | И работодатель, и Вы сами не хотели оформляться 3 | З/О 7 | ОТКАЗ 8
15	answer_block_for_question	3	З/О 7 | ОТКАЗ 8
15	answer_block_for_question	65	З/О 9997 | ОТКАЗ 9998
15	answer_block_for_question	66	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
15	answer_block_for_question	67	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
15	answer_block_for_question	68	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
15	answer_block_for_question	69	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
15	answer_block_for_question	70	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
16	answer_block_for_question	72	З/О 997 | ОТКАЗ 998
16	answer_block_for_question	73	Случайный заработок 1 | Регулярный заработок 2 | З/О 7 | ОТКАЗ 8
16	answer_block_for_question	74	ОСНОВНОЙ ЗАРАБОТОК 1 | ДОПОЛНИТЕЛЬНЫЙ ИСТОЧНИК 2 | З/О 7 | ОТКАЗ 8
16	answer_block_for_question	75	З/О 997 | ОТКАЗ 998
16	answer_block_for_question	76	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
16	answer_block_for_question	77	З/О 997 | ОТКАЗ 998
16	option_line	1	ОСНОВНОЙ ЗАРАБОТОК
16	option_line	1	Случайный заработок
16	option_line	2	ДОПОЛНИТЕЛЬНЫЙ ИСТОЧНИК
16	option_line	2	Регулярный заработок
17	answer_block_for_question	78	Работали на дополнительной работе 1 2 7 8 | Выращивали что-то на своём участке | на продажу или на обмен 1 2 7 8 | Разводили скот, птицу, рыб, другую живность на продажу 1 2 7 8 | на продажу 1 2 7 8 | Сдавали внаём квартиру, комнату, дачу, гараж, автомобиль 1 2 7 8 | Клали деньги в банк под проценты, | давали деньги взаймы под проценты 1 2 7 8 | Оказывали услуги за плату, например, подвозили | кого-то на машине, ремонтировали бытовую технику, | нанимались делать ремонт в квартире, занимались | репетиторством, оставались сидеть с ребёнком за плату 1 2 7 8
17	answer_block_for_question	79	инвестиционный счет 1 2 7 8
17	answer_block_for_question	80	Значительно улучшилось 1 | Немного улучшилось 2 | Осталось без изменений 3 | Немного ухудшилось 4 | Значительно ухудшилось 5 | З/О 7 | ОТКАЗ 8
17	answer_block_for_question	81	Будете жить намного лучше 1 | Будете жить немного лучше 2 | Ничего не изменится 3 | Будете жить немного хуже 4 | Будете жить намного хуже 5 | З/О 7 | ОТКАЗ 8
17	option_line	1	Будете жить намного лучше
17	option_line	1	Значительно улучшилось
17	option_line	2	Будете жить немного лучше
17	option_line	2	Немного улучшилось
17	option_line	3	Ничего не изменится
17	option_line	3	Осталось без изменений
17	option_line	4	Будете жить немного хуже
17	option_line	4	Немного ухудшилось
17	option_line	5	Будете жить намного хуже
17	option_line	5	Значительно ухудшилось
17	option_line	8	Работали на дополнительной работе 1 2 7
17	option_line	8	Разводили скот, птицу, рыб, другую живность на продажу 1 2 7
17	option_line	8	Сдавали внаём квартиру, комнату, дачу, гараж, автомобиль 1 2 7
17	option_line	8	давали деньги взаймы под проценты 1 2 7
17	option_line	8	инвестиционный счет 1 2 7
17	option_line	8	на продажу 1 2 7
17	option_line	8	на продажу или на обмен 1 2 7
17	option_line	8	репетиторством, оставались сидеть с ребёнком за плату 1 2 7
18	answer_block_for_question	82	ТЕЛЕВИДЕНИЕ 01 | ИНТЕРНЕТ-ИЗДАНИЯ 02 | СОЦИАЛЬНЫЕ СЕТИ 03 | TEЛЕГРАМ-КАНАЛЫ 04 | ПЕЧАТНЫЕ ИЗДАНИЯ 05 | РАДИО 06 | ВИДЕОБЛОГИ И ПОДКАСТЫ 07 | НОВОСТНЫЕ ЛЕНТЫ НА САЙТАХ-АГРЕГАТОРАХ, | САЙТАХ ИНФОРМАЦИОННЫХ АГЕНТСТВ 08 | РАЗГОВОРЫ С ЧЛЕНАМИ СЕМЬИ, ДРУЗЬЯМИ ИЛИ КОЛЛЕГАМИ 09 | ДРУГОЕ, ЧТО ИМЕННО? 10 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | НЕ СМОТРЕЛИ, НЕ СЛУШАЛИ, НЕ ЧИТАЛИ ЭКОНОМИЧЕСКИХ И ПОЛИТИЧЕСКИХ | НОВОСТЕЙ В ПОСЛЕДНИЕ ТРИ МЕСЯЦА 96 | З/О 97 | ОТКАЗ 98
18	answer_block_for_question	86	Полностью удовлетворены 1 | Скорее удовлетворены 2 | И да, и нет 3 | Не очень удовлетворены 4 | Совсем не удовлетворены 5 | З/О 7 | ОТКАЗ 8
18	option_line	01	ТЕЛЕВИДЕНИЕ
18	option_line	02	ИНТЕРНЕТ-ИЗДАНИЯ
18	option_line	03	СОЦИАЛЬНЫЕ СЕТИ
18	option_line	04	TEЛЕГРАМ-КАНАЛЫ
18	option_line	05	ПЕЧАТНЫЕ ИЗДАНИЯ
18	option_line	06	РАДИО
18	option_line	07	ВИДЕОБЛОГИ И ПОДКАСТЫ
18	option_line	08	САЙТАХ ИНФОРМАЦИОННЫХ АГЕНТСТВ
18	option_line	09	РАЗГОВОРЫ С ЧЛЕНАМИ СЕМЬИ, ДРУЗЬЯМИ ИЛИ КОЛЛЕГАМИ
18	option_line	1	Полностью удовлетворены
18	option_line	10	ДРУГОЕ, ЧТО ИМЕННО?
18	option_line	2	Скорее удовлетворены
18	option_line	4	Не очень удовлетворены
18	option_line	5	Совсем не удовлетворены
18	option_line	96	НОВОСТЕЙ В ПОСЛЕДНИЕ ТРИ МЕСЯЦА
19	answer_block_for_question	87	Очень беспокоит 1 | Немного беспокоит 2 | И да, и нет 3 | Не очень беспокоит 4 | Совсем не беспокоит 5 | З/О 7 | ОТКАЗ 8
19	answer_block_for_question	88	Полностью удовлетворены 1 | Скорее удовлетворены 2 | И да, и нет 3 | Не очень удовлетворены 4 | Совсем не удовлетворены 5 | З/О 7 | ОТКАЗ 8
19	answer_block_for_question	89	другие не додумались раньше? 1 2 3 4 | работать, когда другие делают перерыв? 1 2 3 4 | чем усердно трудиться? 1 2 3 4 | которых требует очень длительного времени - | как минимум нескольких месяцев? 1 2 3 4
19	option_line	4	другие не додумались раньше? 1 2 3
19	option_line	4	как минимум нескольких месяцев? 1 2 3
19	option_line	4	работать, когда другие делают перерыв? 1 2 3
19	option_line	4	чем усердно трудиться? 1 2 3
20	answer_block_for_question	90	З/О 97 | ОТКАЗ 98
